EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
83.025,1.65,8,11071,3080.901245355606,556010,0.0,0.2897225,0.26782822608947754,0.001103461,0.013351385,0.013351385
76.8,1.45,6,11077,3083.7959718704224,556536,0.0,0.34095913,0.6193432807922363,0.00060820446,0.008961866,0.008961866
74.875,1.375,6,11083,3086.6504607200623,557012,0.0,0.28584298,0.46560120582580566,0.0006569418,0.008127668,0.008127668
81.0,1.525,4,11087,3089.487827539444,557425,0.0,0.14216322,0.4386298656463623,0.00072870526,0.0077603953,0.0077603953
86.025,1.75,6,11093,3092.2414758205414,558023,0.0,0.13928026,0.4602072834968567,0.0009168289,0.009806371,0.009806371
83.55,1.7,6,11099,3095.2036650180817,558523,0.0,0.13796417,0.5465334355831146,0.00081979076,0.0062030586,0.0062030586
81.85,1.625,9,11108,3098.0903985500336,559096,0.0,0.16675067,-0.15025043487548828,0.0009782251,0.011998214,0.011998214
73.975,1.425,10,11118,3100.9524993896484,559614,0.0,0.23504935,0.5965362787246704,0.0007621575,0.005441509,0.005441509
79.7,1.575,4,11122,3103.6873602867126,560055,0.0,0.22606969,0.5041221082210541,0.0014915473,0.009116672,0.009116672
71.175,1.3,9,11131,3106.5371148586273,560630,0.0,0.21670806,0.46515393257141113,0.00092082465,0.008812018,0.008812018
67.4,1.125,7,11138,3109.3714678287506,561145,0.0,0.306166,0.613872230052948,0.0004792547,0.0057896287,0.0057896287
67.15,1.175,7,11145,3112.215672969818,561659,0.0,0.19269504,0.30430078506469727,0.0004708924,0.006088355,0.006088355
73.65,1.325,5,11150,3115.0472342967987,562086,0.0,0.3023857,0.7804345488548279,0.00039783158,0.0075471294,0.0075471294
80.425,1.6,5,11155,3117.8783526420593,562591,0.0,0.15720484,0.3072640895843506,0.00078250794,0.0053343032,0.0053343032
77.3,1.55,7,11162,3120.6151270866394,563147,0.0,0.3056221,0.3237641453742981,0.0014158883,0.0125640845,0.0125640845
75.825,1.475,6,11168,3123.353509902954,563551,0.0,0.21140245,0.4282148480415344,0.0012087992,0.008844738,0.008844738
86.6,1.85,3,11171,3126.177780866623,564094,0.0,0.07650548,0.26763802766799927,0.0010210751,0.009359799,0.009359799
91.425,2.025,4,11175,3128.9176454544067,564640,0.0,0.2054326,-0.1502363681793213,0.0013597703,0.015411015,0.015411015
92.225,2.025,7,11182,3131.772301673889,565235,0.0,0.3018288,0.5655280649662018,0.00049661694,0.0073450124,0.0073450124
