# {"t_start": 1574518072.8136036, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
3.0,252,5.589454
6.0,400,13.044606
0.0,127,15.504365
1.0,155,18.127098
0.0,127,20.567529
0.0,127,23.010226
0.0,129,25.479939
3.0,211,30.135676
0.0,129,30.904735
0.0,127,33.345888
0.0,129,35.802823
1.0,176,40.212316
1.0,174,42.885901
0.0,129,45.34381
5.0,345,50.831035
0.0,129,53.244933
0.0,125,55.630311
4.0,297,60.768856
2.0,202,65.310428
0.0,129,67.73097
0.0,129,68.419155
0.0,129,70.861159
5.0,329,77.971267
13.0,457,85.85916
0.0,127,88.305969
0.0,129,90.760108
0.0,129,93.140358
4.0,301,98.312109
0.0,129,100.740642
9.0,404,108.239787
0.0,127,110.702739
0.0,129,113.169465
0.0,129,115.593235
4.0,297,120.67203
0.0,129,123.048583
0.0,129,125.49842
5.0,350,131.061068
5.0,350,138.293194
5.0,326,145.403996
0.0,125,146.127344
0.0,127,148.529116
2.0,206,153.066235
0.0,129,155.456644
13.0,478,163.442697
5.0,352,170.643807
5.0,350,177.792959
0.0,129,178.586628
3.0,246,183.446518
5.0,326,190.307107
0.0,129,192.697142
8.0,350,198.233687
0.0,123,200.629418
0.0,127,203.076287
0.0,125,205.492827
9.0,404,213.05686
0.0,125,215.484122
5.0,350,221.057091
0.0,129,223.531466
0.0,127,225.859526
5.0,350,232.890869
0.0,129,235.298071
0.0,127,237.753964
4.0,260,242.765776
2.0,202,245.677399
0.0,129,248.141458
0.0,127,250.597606
4.0,260,255.573099
2.0,183,258.36976
0.0,125,260.757173
4.0,301,265.914799
1.0,155,268.431995
0.0,129,270.866698
1.0,155,273.42813
0.0,127,275.854053
0.0,127,278.287709
5.0,350,285.455747
9.0,404,292.950511
0.0,129,295.413514
5.0,293,300.524685
4.0,265,305.537078
6.0,330,310.862899
4.0,279,315.989989
0.0,129,318.450236
6.0,399,325.877283
0.0,129,328.186926
5.0,300,333.359734
7.0,250,338.361538
7.0,248,343.235671
0.0,129,345.656406
12.0,498,355.327775
10.0,418,362.926083
10.0,527,372.921979
12.0,520,382.819601
7.0,248,387.6869
0.0,129,388.441374
0.0,129,390.862427
9.0,476,400.540183
10.0,497,410.058925
7.0,248,414.749356
11.0,271,419.612165
7.0,248,422.811454
17.0,601,434.943257
13.0,527,444.938609
7.0,248,449.783735
12.0,320,455.096938
0.0,129,457.541479
0.0,129,459.931722
2.0,204,462.834051
0.0,129,465.271006
11.0,271,470.247415
14.0,386,477.587685
0.0,129,480.038378
10.0,400,487.403857
7.0,394,494.874965
11.0,271,499.887251
8.0,447,509.462401
1.0,175,512.227279
