# {"t_start": 1574518072.814716, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
1.0,173,5.051163
2.0,200,7.955754
3.0,248,12.741032
0.0,127,15.186185
2.0,204,18.163835
3.0,248,23.096016
1.0,157,25.763884
2.0,223,30.471766
0.0,125,32.898542
3.0,248,37.81991
1.0,175,40.511474
0.0,129,42.949277
5.0,352,48.508909
5.0,331,55.562205
4.0,282,60.588805
2.0,202,63.474141
8.0,375,70.792346
0.0,127,73.231244
0.0,129,75.670886
0.0,127,78.107782
0.0,127,80.476216
0.0,129,82.910425
2.0,202,85.792265
9.0,403,93.377918
0.0,127,95.739233
0.0,129,98.160388
2.0,202,102.747832
5.0,348,108.191787
0.0,129,110.666417
0.0,129,113.136545
11.0,484,122.763474
6.0,397,130.31469
0.0,129,131.081915
0.0,127,133.493599
0.0,127,135.888172
0.0,127,138.33477
2.0,200,142.933317
0.0,129,143.687378
0.0,129,146.088404
2.0,202,150.654435
2.0,200,153.484703
0.0,125,155.830504
0.0,129,158.253359
6.0,400,165.756085
1.0,177,168.464711
2.0,198,173.041908
4.0,297,178.174258
0.0,129,180.641957
2.0,225,185.33149
2.0,202,188.129714
9.0,404,195.573619
2.0,200,200.134228
1.0,173,202.879977
0.0,129,205.325859
0.0,125,207.724392
2.0,202,210.631174
2.0,202,213.554812
0.0,129,215.995426
5.0,350,223.274704
0.0,127,225.650945
0.0,129,227.959851
0.0,127,230.319373
2.0,202,233.165414
1.0,157,235.780868
1.0,177,240.239724
5.0,350,245.824386
0.0,127,248.283803
1.0,175,251.062193
1.0,157,253.663082
1.0,173,258.045558
0.0,129,260.513889
0.0,125,261.218421
1.0,175,265.59666
3.0,251,270.359154
0.0,129,271.13681
9.0,404,278.713611
4.0,301,285.536445
2.0,203,288.412328
0.0,129,290.81771
5.0,352,297.999212
3.0,218,301.048002
0.0,129,303.455951
4.0,299,308.585945
0.0,129,311.032294
2.0,183,315.523417
5.0,313,320.85262
2.0,183,323.619938
1.0,155,326.080794
0.0,129,328.429351
0.0,127,330.791182
0.0,129,333.197443
0.0,127,335.667446
0.0,129,338.141279
0.0,129,340.584213
0.0,129,343.006593
7.0,392,350.43899
0.0,129,352.889798
0.0,129,353.520242
12.0,320,360.463032
0.0,129,362.865947
0.0,127,365.307342
0.0,127,366.057433
8.0,468,375.620624
0.0,129,377.9946
0.0,127,380.414235
12.0,501,390.251959
12.0,520,400.187708
7.0,418,407.601239
14.0,575,417.54056
0.0,129,419.966734
11.0,472,429.614232
12.0,522,439.579909
12.0,302,444.768208
8.0,447,452.546365
0.0,129,454.969565
15.0,596,467.124645
1.0,155,469.703105
5.0,326,475.023735
2.0,204,479.554783
12.0,427,487.108074
0.0,127,489.545027
0.0,127,491.967253
0.0,127,494.399968
11.0,414,501.946938
8.0,444,509.848176
0.0,129,512.296538
0.0,129,514.759434
1.0,155,517.3403
0.0,127,519.798863
7.0,248,524.708002
1.0,155,527.255617
6.0,397,534.637611
2.0,206,537.529697
1.0,155,540.003664
6.0,397,547.344206
1.0,155,549.928625
4.0,296,556.743982
8.0,350,562.338504
7.0,248,567.173975
11.0,271,572.073552
1.0,155,574.609986
5.0,304,579.789117
0.0,127,582.11372
8.0,279,587.034482
1.0,155,589.510094
7.0,248,594.312983
10.0,363,601.5323
7.0,248,606.336806
11.0,479,615.912108
2.0,206,618.816961
0.0,129,621.28391
16.0,570,631.545079
0.0,129,633.946175
10.0,450,643.506166
10.0,450,651.336475
2.0,183,654.08632
4.0,279,659.187448
4.0,247,664.021031
7.0,418,671.657145
0.0,125,674.066663
3.0,234,678.84422
0.0,127,681.198296
0.0,127,683.616504
1.0,155,686.243645
7.0,371,693.582539
1.0,173,696.144361
0.0,129,698.411131
12.0,498,706.503603
3.0,214,711.113712
13.0,517,720.965617
10.0,497,730.486048
2.0,183,733.287242
0.0,129,735.690973
0.0,129,738.057688
6.0,329,743.099282
7.0,374,750.175166
0.0,129,752.589241
0.0,129,755.039054
