# {"t_start": 1574518072.8131793, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
2.0,206,5.283144
1.0,176,8.028023
4.0,321,14.970415
1.0,158,17.639203
0.0,129,20.094163
0.0,127,22.53308
3.0,230,25.686898
1.0,171,28.387268
3.0,251,33.327037
0.0,129,35.779379
8.0,374,43.153288
4.0,301,48.34379
7.0,320,55.350009
1.0,157,57.951081
4.0,282,62.993577
5.0,330,68.306506
3.0,248,73.20713
0.0,129,75.646505
7.0,429,83.387548
0.0,129,85.776528
2.0,199,90.395044
4.0,297,95.490707
0.0,127,97.907117
8.0,481,105.959346
0.0,127,108.370726
0.0,129,110.836717
0.0,129,113.301689
5.0,350,120.382363
5.0,350,125.900287
0.0,127,128.318846
0.0,129,130.748992
7.0,324,137.819118
0.0,127,138.59284
5.0,350,145.804623
1.0,175,148.557308
9.0,404,155.996612
0.0,129,158.417317
0.0,129,160.803403
0.0,129,163.196896
0.0,129,165.62815
5.0,350,172.84036
2.0,200,175.666784
0.0,129,178.089346
0.0,129,180.561725
6.0,380,187.8783
1.0,172,190.467724
0.0,127,192.843136
2.0,202,195.746976
0.0,127,198.134359
2.0,202,202.740278
0.0,125,203.508164
0.0,129,205.922899
0.0,129,208.337006
0.0,127,210.781574
5.0,350,218.031349
3.0,248,222.944783
4.0,279,227.89442
0.0,127,230.234037
4.0,296,235.38086
5.0,350,240.992427
0.0,129,243.439765
4.0,320,250.536416
4.0,300,255.794722
0.0,127,258.201899
9.0,404,265.73502
0.0,129,268.032326
5.0,321,273.368629
4.0,272,278.461358
2.0,202,283.004051
1.0,155,285.574274
6.0,391,292.996737
1.0,157,295.604814
0.0,129,297.967756
2.0,204,300.930777
6.0,382,308.264342
0.0,125,310.662761
0.0,129,313.133466
4.0,299,318.378428
4.0,262,323.343965
4.0,245,328.004329
5.0,312,333.233044
0.0,129,335.71487
0.0,129,338.185796
7.0,250,343.090189
7.0,418,350.711395
8.0,299,355.777592
3.0,214,360.368218
4.0,267,365.397476
7.0,447,373.167901
1.0,155,375.758411
2.0,183,378.46235
11.0,271,383.461232
0.0,129,385.874851
0.0,127,388.285425
1.0,155,390.897068
1.0,175,395.265491
1.0,173,397.959249
7.0,418,405.400982
0.0,127,407.752649
0.0,125,410.105091
2.0,204,412.826084
1.0,155,415.310396
8.0,444,424.781718
11.0,271,429.754663
0.0,129,432.172143
11.0,472,440.119614
7.0,248,444.99415
5.0,315,450.266725
9.0,496,460.060372
0.0,129,462.460192
15.0,525,472.443798
15.0,525,482.324195
15.0,526,492.304347
3.0,231,496.989887
6.0,357,502.565664
0.0,127,504.978457
0.0,129,507.449933
7.0,374,514.940459
3.0,234,519.736716
10.0,424,527.445057
9.0,494,537.084698
8.0,476,544.902692
0.0,129,547.23069
3.0,214,551.881746
11.0,271,556.881244
1.0,155,559.49758
0.0,129,561.936904
10.0,428,569.570872
5.0,313,574.754012
0.0,129,577.203869
7.0,248,581.925632
11.0,570,591.882364
8.0,477,601.49875
7.0,374,608.822359
7.0,248,613.516202
11.0,271,618.532575
0.0,129,620.97373
6.0,365,626.616895
0.0,129,628.982797
0.0,129,631.407924
7.0,426,639.119574
3.0,249,643.994772
0.0,129,646.421359
0.0,129,648.850582
0.0,127,651.221095
11.0,271,656.233741
0.0,129,658.691177
0.0,127,661.092212
1.0,155,663.663882
11.0,479,671.700041
10.0,348,678.902258
8.0,439,686.695199
7.0,374,693.962353
11.0,271,698.733705
1.0,155,701.341732
1.0,175,703.990561
3.0,232,708.703911
2.0,183,711.482847
9.0,517,721.261349
11.0,471,730.712548
8.0,424,738.302569
0.0,129,740.602042
0.0,127,742.854807
4.0,244,747.407878
7.0,374,754.732476
1.0,173,757.482357
1.0,155,760.076819
7.0,445,767.840374
8.0,433,777.078392
13.0,528,786.868792
2.0,204,789.764195
2.0,183,792.502695
1.0,155,795.085844
0.0,129,797.506919
11.0,572,809.348499
8.0,426,816.920814
0.0,129,819.406702
2.0,183,822.204879
2.0,204,826.798387
13.0,552,836.437523
11.0,271,841.205107
8.0,279,846.184656
1.0,155,848.798117
9.0,476,858.48801
0.0,129,860.895481
7.0,426,868.455559
4.0,260,873.40128
8.0,444,880.948882
8.0,468,890.399748
8.0,467,898.142941
5.0,334,905.177339
11.0,557,915.29871
2.0,183,917.966423
2.0,184,922.338939
6.0,396,929.809835
1.0,155,932.360644
1.0,157,934.941094
3.0,232,937.991097
6.0,339,945.088773
3.0,214,949.737632
9.0,485,957.845534
0.0,127,960.290735
7.0,248,965.101802
6.0,375,972.473277
14.0,571,982.385115
11.0,424,990.029332
5.0,292,995.129393
12.0,302,1002.024901
12.0,603,1012.231632
2.0,220,1016.815497
3.0,212,1019.550487
16.0,566,1031.21191
