# {"t_start": 1574517855.579776, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
1.0,173,2.71121
3.0,232,5.018559
1.0,171,6.714538
1.0,173,8.512527
0.0,129,9.759545
2.0,225,12.164312
0.0,127,13.469115
1.0,157,15.019894
0.0,127,16.283975
3.0,249,18.783385
0.0,125,19.994269
3.0,230,22.514212
4.0,297,25.70175
0.0,123,26.865407
2.0,186,28.710065
0.0,127,29.959731
1.0,174,31.705572
2.0,199,33.80152
0.0,129,35.037603
0.0,129,36.292427
3.0,251,38.811216
3.0,266,41.523091
0.0,129,42.75712
10.0,452,47.360268
5.0,328,50.776286
0.0,129,52.044159
3.0,268,54.784163
0.0,125,55.980878
4.0,301,59.106786
3.0,272,61.924972
2.0,203,64.010957
2.0,202,65.985236
0.0,125,67.200191
12.0,554,72.962773
1.0,175,74.695784
2.0,185,76.565392
0.0,127,77.886429
5.0,349,81.623072
0.0,125,82.870382
0.0,127,84.089692
2.0,201,86.203298
4.0,299,89.324777
6.0,399,93.494348
1.0,175,95.284815
3.0,272,98.037031
0.0,127,99.279817
1.0,176,101.100039
0.0,129,102.434983
3.0,272,105.223048
1.0,159,106.819213
0.0,127,108.073866
0.0,125,109.285181
1.0,153,110.775124
0.0,129,112.032394
0.0,129,113.287954
0.0,129,114.54644
1.0,157,116.199974
4.0,319,119.55962
1.0,157,121.207478
1.0,154,122.826061
0.0,127,124.062355
0.0,127,125.292051
0.0,129,126.561748
5.0,346,130.124795
0.0,127,131.365769
4.0,301,134.45666
0.0,129,135.7289
1.0,153,137.235023
7.0,324,140.592566
2.0,222,142.874957
1.0,171,144.710402
1.0,157,146.395188
2.0,198,148.553728
2.0,200,150.638539
3.0,270,153.682156
4.0,278,156.713177
3.0,230,159.231474
0.0,129,160.603215
1.0,175,162.489877
2.0,226,164.811794
2.0,200,166.840442
3.0,270,169.5826
5.0,349,173.454222
0.0,127,174.797884
1.0,177,176.573961
1.0,173,178.360564
3.0,254,181.01628
2.0,201,183.195699
1.0,175,185.104385
4.0,305,188.30488
0.0,127,189.613237
2.0,200,191.678841
2.0,222,193.980295
0.0,129,195.230437
0.0,125,196.483751
1.0,157,198.179633
1.0,153,199.824291
0.0,129,201.16252
2.0,185,203.064205
1.0,174,204.83194
0.0,129,206.09542
0.0,129,207.347829
1.0,173,209.141035
2.0,201,211.346174
2.0,186,213.345761
4.0,279,216.393504
1.0,155,217.902212
1.0,178,219.768975
1.0,175,221.67663
4.0,301,224.934251
4.0,303,228.111278
5.0,346,231.745205
10.0,414,236.228389
4.0,301,239.403764
0.0,127,240.674349
3.0,236,243.100672
2.0,185,245.008698
0.0,129,246.357805
2.0,185,248.405357
2.0,186,250.474799
1.0,157,252.158241
0.0,127,253.496663
4.0,302,256.885713
0.0,127,258.233842
1.0,155,259.832587
1.0,171,261.651791
0.0,129,262.976379
0.0,127,264.232657
0.0,129,265.481034
4.0,294,268.606567
0.0,123,269.893912
0.0,127,271.205066
3.0,233,273.743678
0.0,125,274.946217
5.0,340,278.594936
2.0,206,280.794627
3.0,270,283.734011
0.0,127,284.964299
0.0,125,286.238918
4.0,298,289.487419
1.0,157,291.057072
1.0,152,292.669566
2.0,202,294.889377
0.0,127,296.228626
0.0,129,297.562051
1.0,175,299.329926
0.0,129,300.689212
0.0,127,301.953944
0.0,127,303.243414
3.0,218,305.471868
1.0,155,307.018138
0.0,129,308.285231
0.0,127,309.539369
