eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,total_timesteps,value_loss
nan,nan,-71.81196594238281,149,1,1.3862922191619873,20,0.0019912440329790115
162.9090909090909,0.8181818181818182,-7.730424880981445,370,100,1.3862924575805664,2000,0.00032225780887529254
169.2608695652174,1.0434782608695652,-0.9873110055923462,363,200,1.3862930536270142,4000,0.0017903672996908426
172.13888888888889,1.1111111111111112,-0.053748369216918945,362,300,1.3862898349761963,6000,0.10133849084377289
177.6595744680851,1.2340425531914894,0.13954728841781616,361,400,1.3862898349761963,8000,0.0013596583157777786
174.32758620689654,1.1551724137931034,0.17036116123199463,362,500,1.3862810134887695,10000,0.00016814182163216174
177.22535211267606,1.267605633802817,0.06329292058944702,361,600,1.3862454891204834,12000,0.0002789727004710585
179.7037037037037,1.345679012345679,0.31302374601364136,363,700,1.3858345746994019,14000,8.882236579665914e-05
182.7826086956522,1.391304347826087,-0.196600079536438,364,800,1.3851760625839233,16000,0.0005622049793601036
188.37,1.55,0.10653990507125854,366,900,1.3854868412017822,18000,0.0006488104118034244
190.04,1.59,-3.016935348510742,366,1000,1.378646969795227,20000,0.00018888899649027735
189.05,1.56,0.16834288835525513,366,1100,1.3675521612167358,22000,0.011895539239048958
189.96,1.58,-0.521432638168335,366,1200,1.378443717956543,24000,2.513965046091471e-05
189.2,1.56,0.829531729221344,366,1300,1.3852760791778564,26000,4.351372626842931e-05
196.89,1.77,0.0005091428756713867,367,1400,1.3856518268585205,28000,0.10246622562408447
196.87,1.74,-0.39302921295166016,366,1500,1.3856512308120728,30000,0.005352203268557787
188.79,1.54,0.3209613561630249,365,1600,1.3856512308120728,32000,0.003057606052607298
190.45,1.57,0.09908759593963623,366,1700,1.3853981494903564,34000,0.005785515997558832
188.81,1.5,0.8005278408527374,366,1800,1.385591745376587,36000,3.7223926483420655e-05
188.93,1.51,0.07917898893356323,365,1900,1.3850200176239014,38000,0.004252337384968996
190.05,1.54,0.14698326587677002,365,2000,1.3854520320892334,40000,0.002004739362746477
191.17,1.58,0.7483889758586884,365,2100,1.385387659072876,42000,5.217693978920579e-05
183.47,1.39,-1.2123360633850098,365,2200,1.3848763704299927,44000,5.9628637245623395e-05
179.79,1.29,0.04730921983718872,365,2300,1.3851778507232666,46000,0.1478404998779297
183.01,1.39,-0.1847224235534668,365,2400,1.3842928409576416,48000,0.018218524754047394
185.14,1.44,0.6253201067447662,365,2500,1.3855950832366943,50000,0.00017846561968326569
187.05,1.54,0.9607226736843586,365,2600,1.3839747905731201,52000,0.00013370977831073105
184.86,1.48,0.4365142583847046,364,2700,1.3833471536636353,54000,0.0005433509359136224
183.5,1.45,0.041358768939971924,363,2800,1.3852484226226807,56000,0.05722234770655632
188.16,1.56,0.3158232569694519,362,2900,1.3859548568725586,58000,0.0029250187799334526
188.83,1.56,0.9270987883210182,362,3000,1.3857160806655884,60000,9.72174311755225e-05
189.99,1.58,-0.29759347438812256,362,3100,1.3854410648345947,62000,0.013277443125844002
196.55,1.72,0.17135006189346313,362,3200,1.3855431079864502,64000,0.08798443526029587
194.23,1.66,-0.09853720664978027,362,3300,1.385389804840088,66000,0.004475184716284275
194.46,1.65,0.3330647945404053,361,3400,1.3854866027832031,68000,0.0064140381291508675
190.09,1.5,0.2989603877067566,361,3500,1.3857914209365845,70000,0.11125661432743073
191.15,1.53,0.23080873489379883,361,3600,1.3855359554290771,72000,0.0012439251877367496
180.67,1.28,0.30819302797317505,361,3700,1.385117769241333,74000,0.00026024715043604374
181.16,1.29,0.1462385654449463,360,3800,1.3848210573196411,76000,0.04656543210148811
177.94,1.24,0.09908783435821533,360,3900,1.3845821619033813,78000,0.18009807169437408
177.32,1.24,0.07470619678497314,360,4000,1.3831771612167358,80000,0.23615391552448273
177.88,1.24,-0.027237892150878906,360,4100,1.3848828077316284,82000,0.00040431329398415983
178.63,1.26,0.5381426215171814,360,4200,1.3833787441253662,84000,0.0011839303188025951
178.39,1.3,0.2840598225593567,360,4300,1.384153127670288,86000,0.0006707691354677081
177.67,1.31,0.640968531370163,360,4400,1.3834022283554077,88000,0.005945450160652399
176.32,1.27,0.3577069044113159,359,4500,1.3847830295562744,90000,0.0010855027940124273
177.97,1.31,-0.5734782218933105,359,4600,1.3839319944381714,92000,0.0008817596244625747
174.84,1.22,-7.4321441650390625,359,4700,1.3855100870132446,94000,0.0005757260951213539
170.86,1.12,0.423481822013855,359,4800,1.3853483200073242,96000,0.1500033289194107
169.88,1.09,-4.1282830238342285,358,4900,1.384237289428711,98000,0.019892428070306778
172.6,1.16,0.9167166501283646,358,5000,1.3833974599838257,100000,0.020904550328850746
169.83,1.06,-0.017142295837402344,358,5100,1.3839162588119507,102000,0.0066622584126889706
171.62,1.09,0.1180831789970398,358,5200,1.383207082748413,104000,0.03989099711179733
174.91,1.17,0.022421717643737793,358,5300,1.383718490600586,106000,0.002897547325119376
176.67,1.24,0.4238930940628052,358,5400,1.3823182582855225,108000,0.0012249849969521165
179.64,1.3,0.7058055698871613,358,5500,1.3840373754501343,110000,0.003218285273760557
178.31,1.27,-2.242924928665161,358,5600,1.3843762874603271,112000,0.00015240888751577586
178.54,1.29,-17.72480583190918,358,5700,1.3835229873657227,114000,0.006725196726620197
174.14,1.2,0.3348166346549988,357,5800,1.3843071460723877,116000,0.014804905280470848
175.31,1.23,0.14543837308883667,357,5900,1.3848230838775635,118000,0.0003667174023576081
176.43,1.25,0.5750625431537628,357,6000,1.3845484256744385,120000,0.00037865113699808717
175.34,1.21,0.5111410021781921,357,6100,1.3828623294830322,122000,0.011874844320118427
175.51,1.18,-1.1070241928100586,357,6200,1.3830699920654297,124000,0.002081863582134247
173.24,1.13,0.9527712315320969,357,6300,1.3842350244522095,126000,0.00823513139039278
180.55,1.32,0.17695081233978271,357,6400,1.3811763525009155,128000,0.016718706116080284
187.08,1.48,0.7442662417888641,357,6500,1.3833768367767334,130000,0.04688287898898125
189.46,1.53,0.9634413197636604,357,6600,1.3843415975570679,132000,0.005956780165433884
186.96,1.46,0.9303563237190247,357,6700,1.3836125135421753,134000,0.01903953216969967
189.39,1.52,0.8294698894023895,357,6800,1.3850176334381104,136000,0.0009262596140615642
186.1,1.46,0.9907899452373385,356,6900,1.383366584777832,138000,0.004244176670908928
186.54,1.48,0.6771380007266998,356,7000,1.3848774433135986,140000,0.0025165847036987543
182.15,1.37,-1.5865395069122314,356,7100,1.3847719430923462,142000,0.007072794251143932
