# {"t_start": 1574517855.5782285, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
0.0,125,2.202108
0.0,129,3.430453
0.0,127,4.602342
0.0,127,5.833801
1.0,157,7.430119
3.0,272,10.266825
3.0,246,12.902561
0.0,127,14.198603
4.0,300,17.305589
5.0,350,20.989246
0.0,127,22.314852
0.0,125,23.630109
0.0,127,24.895075
8.0,376,28.793696
2.0,200,30.800265
0.0,129,32.069709
1.0,157,33.689363
0.0,125,34.879932
1.0,176,36.666674
0.0,129,37.890841
2.0,219,40.07414
2.0,208,42.129302
0.0,127,43.344116
3.0,233,45.674053
3.0,248,48.154721
0.0,129,49.387821
0.0,129,50.648066
0.0,123,51.827365
0.0,129,53.089803
5.0,326,56.455773
0.0,127,57.672802
0.0,123,58.875155
2.0,202,60.93188
0.0,129,62.200493
2.0,202,64.250234
4.0,319,67.497234
0.0,127,68.726949
1.0,174,70.437582
0.0,127,71.652627
2.0,201,73.61398
1.0,155,75.149745
0.0,129,76.397187
2.0,202,78.541827
0.0,129,79.776051
0.0,129,81.111781
0.0,129,82.438611
1.0,157,83.973973
1.0,173,85.778063
0.0,129,87.051953
1.0,172,88.795991
2.0,220,90.995834
0.0,129,92.258644
2.0,223,94.537709
1.0,172,96.266093
3.0,251,98.830942
2.0,202,100.88327
2.0,203,103.074777
3.0,250,105.61546
5.0,315,108.928905
2.0,202,110.955886
0.0,125,112.170415
3.0,248,114.732243
0.0,127,116.057994
3.0,250,118.66268
0.0,129,119.930338
0.0,129,121.276014
0.0,129,122.593082
0.0,127,123.850353
1.0,157,125.413574
11.0,478,130.413409
2.0,198,132.429847
3.0,272,135.193355
0.0,127,136.449266
8.0,374,140.362876
6.0,379,144.437458
2.0,223,146.880737
0.0,127,148.219952
0.0,129,149.501055
5.0,353,153.489905
8.0,475,158.824731
3.0,237,161.481526
5.0,348,165.191872
0.0,127,166.415394
2.0,207,168.484672
1.0,175,170.259159
2.0,182,172.216028
1.0,175,174.116194
1.0,175,175.914588
2.0,182,177.771998
1.0,157,179.363214
0.0,129,180.639832
2.0,202,182.77181
0.0,129,184.185598
1.0,173,186.0058
2.0,222,188.246155
2.0,227,190.697841
0.0,129,191.971147
0.0,129,193.263279
4.0,319,196.641888
2.0,222,199.103812
0.0,129,200.457226
1.0,173,202.220527
2.0,203,204.345089
2.0,180,206.167339
3.0,250,208.770736
0.0,127,210.13607
2.0,202,212.297591
0.0,127,213.587447
2.0,186,215.531577
2.0,220,217.840919
2.0,202,220.015811
3.0,237,222.650106
0.0,129,223.902413
1.0,173,225.676829
0.0,127,226.947444
0.0,129,228.235991
0.0,125,229.439472
0.0,127,230.661857
0.0,125,231.87396
2.0,218,234.108474
2.0,220,236.46887
1.0,175,238.267651
0.0,127,239.481652
0.0,129,240.773737
2.0,198,242.766411
0.0,127,244.03282
0.0,129,245.360882
1.0,157,247.042993
0.0,127,248.38182
0.0,127,249.772901
4.0,301,253.156271
2.0,224,255.630331
0.0,125,256.921684
3.0,233,259.487931
0.0,127,260.779477
1.0,175,262.639786
0.0,127,263.903326
0.0,129,265.160307
0.0,127,266.392442
0.0,125,267.622218
3.0,274,270.647118
5.0,330,274.270397
3.0,252,276.921235
1.0,173,278.705314
2.0,204,280.89689
0.0,129,282.214704
0.0,125,283.473532
0.0,129,284.737232
3.0,248,287.476596
1.0,173,289.249304
0.0,127,290.468269
1.0,171,292.276535
0.0,127,293.621834
5.0,291,296.894939
0.0,129,298.152234
7.0,322,301.68009
0.0,127,302.949156
2.0,201,304.972796
1.0,176,306.784469
0.0,127,308.001315
2.0,228,310.357921
0.0,127,311.621359
0.0,125,312.841043
0.0,129,314.213383
0.0,125,315.462601
2.0,202,317.59227
3.0,215,320.00347
2.0,203,322.080248
1.0,176,323.957577
0.0,127,325.307
1.0,173,327.160889
0.0,127,328.43755
0.0,129,329.682722
1.0,174,331.481691
0.0,129,332.768368
4.0,284,335.800909
1.0,152,337.351623
0.0,127,338.657049
2.0,225,341.14317
0.0,129,342.531969
0.0,129,343.857214
0.0,129,345.20555
5.0,348,348.99534
2.0,221,351.279964
3.0,272,354.259058
7.0,325,357.656624
1.0,177,359.48782
4.0,282,362.505456
4.0,299,365.690935
3.0,248,368.277768
1.0,155,369.884343
0.0,129,371.191701
0.0,129,372.484279
0.0,127,373.790451
0.0,129,375.055508
2.0,203,377.118891
1.0,174,379.001944
1.0,157,380.586529
4.0,277,383.707988
0.0,129,385.030437
2.0,200,387.181298
0.0,129,388.52402
3.0,228,390.953021
0.0,129,392.213279
3.0,271,395.196164
0.0,127,396.508611
3.0,270,399.406723
4.0,299,402.60828
0.0,127,403.925747
2.0,204,406.043872
2.0,205,408.147591
0.0,129,409.496748
0.0,127,410.817044
0.0,127,412.057813
0.0,127,413.295312
0.0,127,414.560078
3.0,248,417.142211
1.0,175,419.05109
1.0,176,420.868814
0.0,127,422.154506
0.0,127,423.423985
5.0,308,426.772514
4.0,277,429.854039
2.0,222,432.277761
0.0,125,433.493005
9.0,422,437.941308
2.0,190,439.836599
2.0,207,442.005646
4.0,299,445.09849
2.0,226,447.562991
0.0,125,448.888531
2.0,225,451.328956
0.0,127,452.603361
5.0,371,456.590121
0.0,129,457.876898
0.0,129,459.099266
2.0,198,461.10926
1.0,173,462.858867
1.0,173,464.568278
4.0,297,467.696781
0.0,127,468.981077
0.0,129,470.268486
0.0,129,471.565382
0.0,129,472.812822
0.0,127,474.115165
2.0,202,476.172914
4.0,319,479.694749
2.0,221,481.96203
6.0,397,486.317914
0.0,129,487.659633
8.0,350,491.443804
3.0,245,493.984494
0.0,127,495.188566
2.0,202,497.212927
1.0,171,498.911361
2.0,200,500.98058
0.0,125,502.289599
0.0,129,503.673761
4.0,317,507.048801
4.0,299,510.171895
0.0,129,511.48146
5.0,350,515.232998
0.0,129,516.583215
3.0,248,519.301564
0.0,129,520.613763
2.0,200,522.670593
0.0,129,523.908916
5.0,329,527.58359
0.0,127,528.815988
2.0,200,530.92432
0.0,129,532.270502
0.0,125,533.544171
3.0,248,536.149452
3.0,272,539.12911
5.0,350,542.919334
0.0,127,544.196816
2.0,200,546.342917
4.0,299,549.577675
2.0,200,551.571471
9.0,382,555.830618
0.0,129,557.14544
5.0,329,560.626805
1.0,173,562.462119
0.0,127,563.679981
0.0,125,564.902672
0.0,129,566.156591
0.0,125,567.498623
0.0,129,568.856318
0.0,127,570.161851
4.0,297,573.242811
2.0,223,575.55748
0.0,129,576.919408
1.0,173,578.689665
0.0,127,579.93148
0.0,127,581.184681
0.0,127,582.410427
0.0,129,583.647277
0.0,129,584.912002
0.0,129,586.183222
0.0,129,587.413234
0.0,127,588.626341
0.0,129,589.925935
0.0,125,591.202717
2.0,198,593.296686
9.0,404,597.583832
3.0,271,600.440094
6.0,394,604.887989
0.0,127,606.215749
0.0,129,607.56181
0.0,129,608.917021
5.0,350,612.762334
0.0,129,614.045573
5.0,350,617.663162
0.0,129,618.985205
0.0,129,620.299356
3.0,246,623.005006
0.0,129,624.388662
0.0,129,625.746747
10.0,455,630.710956
2.0,198,632.714913
0.0,127,633.977283
4.0,297,637.171637
9.0,404,641.731194
9.0,403,646.028496
9.0,403,650.22505
0.0,129,651.496054
2.0,202,653.591178
5.0,327,657.007198
0.0,125,658.204213
0.0,127,659.413778
0.0,129,660.717147
0.0,129,662.019219
9.0,404,666.205557
0.0,125,667.434743
0.0,129,668.716861
3.0,248,671.267565
8.0,375,675.26052
1.0,152,676.869908
0.0,129,678.237687
0.0,127,679.54653
0.0,129,680.888207
0.0,129,682.193612
5.0,352,685.816658
0.0,129,687.089642
1.0,172,688.825034
2.0,202,690.879522
5.0,350,694.735116
0.0,125,695.994016
0.0,127,697.291934
0.0,129,698.583851
2.0,202,700.726721
0.0,127,702.017013
5.0,350,705.637397
2.0,200,707.677785
0.0,125,708.972513
7.0,446,713.961821
2.0,202,716.115565
4.0,297,719.388
2.0,202,721.472765
0.0,127,722.691761
0.0,127,723.924927
5.0,350,727.615056
2.0,202,729.747675
5.0,347,733.399583
2.0,200,735.558959
0.0,127,736.775672
2.0,200,738.819348
3.0,249,741.406945
0.0,125,742.634256
2.0,202,744.751392
0.0,129,746.055495
5.0,350,749.860267
0.0,125,751.130895
0.0,129,752.493869
4.0,297,755.725709
2.0,202,757.751865
0.0,125,758.984166
4.0,299,762.156641
5.0,350,765.879538
9.0,384,769.988135
0.0,129,771.300093
5.0,350,775.080046
2.0,198,777.193999
10.0,431,781.76402
0.0,125,783.104248
0.0,127,784.438292
0.0,129,785.724462
0.0,129,787.004571
0.0,127,788.290295
0.0,129,789.559676
0.0,125,790.764764
0.0,129,792.017551
2.0,202,794.201219
0.0,127,795.440196
9.0,404,799.703616
0.0,129,800.94967
5.0,352,804.579734
0.0,127,805.839297
0.0,129,807.140139
2.0,200,809.283275
3.0,230,811.744838
5.0,348,815.365202
0.0,127,816.590605
1.0,175,818.347241
0.0,129,819.631557
0.0,129,820.953281
0.0,129,822.307932
1.0,173,824.130522
5.0,350,828.057165
1.0,175,829.915624
4.0,298,833.167355
7.0,432,837.885663
3.0,271,840.827158
0.0,125,842.076037
0.0,127,843.282837
0.0,127,844.555915
9.0,382,848.621958
5.0,350,852.410453
0.0,129,853.656144
2.0,202,855.890414
0.0,127,857.224519
9.0,403,861.582168
1.0,155,863.228173
2.0,200,865.413109
2.0,202,867.606173
0.0,129,868.972973
5.0,352,872.661686
0.0,129,873.967218
0.0,129,875.308039
5.0,350,879.00074
5.0,350,882.656672
2.0,202,884.71089
9.0,404,888.984633
0.0,127,890.339578
3.0,246,893.090183
1.0,157,894.835414
4.0,299,898.122052
2.0,202,900.138585
5.0,329,903.776067
5.0,348,907.509692
13.0,457,912.453078
3.0,271,915.326485
2.0,202,917.492492
0.0,125,918.684121
6.0,402,923.060198
0.0,129,924.358147
0.0,129,925.619001
0.0,125,926.848694
0.0,125,928.049306
2.0,202,930.192407
2.0,218,932.523369
0.0,129,933.772222
0.0,127,935.006378
0.0,129,936.274586
0.0,125,937.535777
4.0,318,940.897482
0.0,125,942.116062
2.0,202,944.270483
0.0,125,945.499675
2.0,198,947.613541
0.0,129,949.030332
4.0,319,952.556996
11.0,481,957.881523
2.0,202,959.926869
2.0,202,962.117287
2.0,202,964.274733
2.0,198,966.397643
0.0,129,967.74208
5.0,350,971.610708
2.0,202,973.724203
0.0,125,974.939288
2.0,202,976.972325
2.0,202,979.160838
9.0,404,983.561857
0.0,127,984.80511
0.0,127,986.095407
4.0,319,989.584337
5.0,350,993.359864
2.0,202,995.515144
0.0,127,996.77406
0.0,125,998.076466
0.0,123,999.373319
5.0,352,1003.220223
5.0,350,1006.855701
0.0,129,1008.167017
6.0,377,1012.194651
0.0,129,1013.530084
0.0,129,1014.768212
10.0,457,1019.689122
10.0,451,1024.389967
0.0,127,1025.653711
5.0,350,1029.423176
2.0,200,1031.580225
4.0,297,1034.81717
0.0,129,1036.123353
3.0,248,1038.662383
0.0,125,1039.913668
0.0,127,1041.144524
0.0,125,1042.400611
6.0,396,1046.835398
0.0,129,1048.129569
3.0,248,1050.845619
0.0,127,1052.183651
0.0,127,1053.48413
0.0,125,1054.764622
0.0,129,1056.022995
0.0,129,1057.268877
0.0,129,1058.588195
0.0,129,1059.96454
0.0,129,1061.308596
3.0,248,1063.965949
5.0,350,1067.80356
0.0,129,1069.097732
2.0,198,1071.203267
2.0,198,1073.322642
11.0,484,1078.744636
0.0,127,1080.027358
5.0,350,1083.739748
0.0,127,1085.071995
0.0,127,1086.339638
3.0,252,1088.938253
0.0,127,1090.183468
2.0,198,1092.292654
0.0,129,1093.564528
10.0,429,1098.176488
0.0,127,1099.444141
0.0,129,1100.745868
8.0,352,1104.49048
2.0,202,1106.732562
3.0,248,1109.338321
0.0,129,1110.659734
2.0,200,1112.824882
2.0,202,1115.001991
9.0,404,1119.454815
2.0,202,1121.617733
