# {"t_start": 1574517855.5801473, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
0.0,129,2.237909
4.0,319,5.464739
0.0,127,6.69301
1.0,157,8.321459
2.0,183,10.161014
0.0,125,11.444889
2.0,200,13.589916
3.0,253,16.207487
1.0,172,17.889462
3.0,274,20.754793
0.0,127,22.065341
1.0,155,23.743524
0.0,127,25.00958
2.0,202,26.989904
1.0,176,28.760233
2.0,202,30.776165
3.0,250,33.425642
2.0,224,35.716865
0.0,129,36.960211
5.0,372,40.783876
5.0,332,44.184027
2.0,201,46.161855
5.0,346,49.688847
0.0,129,50.956285
1.0,171,52.693126
0.0,127,53.901164
5.0,325,57.265626
0.0,127,58.490377
0.0,129,59.765614
0.0,129,61.002888
0.0,129,62.270662
0.0,125,63.462922
2.0,223,65.704589
0.0,129,66.944095
1.0,153,68.448289
0.0,129,69.70242
8.0,467,74.515796
2.0,187,76.395319
0.0,125,77.6774
0.0,125,78.912336
4.0,300,82.155681
0.0,127,83.379767
0.0,129,84.648232
2.0,204,86.758361
0.0,129,88.055774
2.0,203,90.077846
0.0,127,91.31853
0.0,125,92.534524
0.0,127,93.771219
1.0,157,95.360445
1.0,173,97.053921
1.0,153,98.544084
3.0,226,100.861249
5.0,346,104.604003
2.0,202,106.652457
0.0,125,107.864047
0.0,127,109.105617
6.0,397,113.268639
0.0,127,114.48786
3.0,251,117.235704
2.0,202,119.274257
0.0,125,120.499137
2.0,202,122.712129
2.0,220,124.966609
0.0,127,126.220552
2.0,224,128.463566
0.0,127,129.667727
7.0,450,134.384251
0.0,127,135.622791
1.0,157,137.201756
0.0,127,138.402339
0.0,129,139.648173
1.0,172,141.36115
0.0,129,142.621407
1.0,176,144.52034
0.0,127,145.895419
0.0,127,147.174326
0.0,129,148.529855
0.0,129,149.81742
1.0,155,151.456965
0.0,129,152.810053
0.0,127,154.170473
4.0,301,157.478218
1.0,155,159.09905
0.0,127,160.45125
0.0,127,161.792326
1.0,175,163.588139
1.0,173,165.31968
4.0,321,168.652441
1.0,172,170.373967
1.0,175,172.241398
0.0,125,173.564899
3.0,250,176.22585
3.0,232,178.649729
1.0,155,180.23339
0.0,123,181.425728
1.0,174,183.295716
2.0,219,185.678881
2.0,225,188.00198
0.0,129,189.310643
1.0,155,190.914461
2.0,221,193.196809
0.0,127,194.446471
0.0,129,195.706111
0.0,127,197.018288
0.0,129,198.374282
0.0,129,199.709016
1.0,155,201.393841
0.0,129,202.658358
0.0,129,203.940918
1.0,170,205.654428
1.0,174,207.407204
2.0,200,209.509603
0.0,129,210.85879
1.0,175,212.712015
0.0,127,214.004365
1.0,153,215.595024
3.0,253,218.24092
0.0,127,219.538908
2.0,201,221.7565
1.0,157,223.382828
4.0,300,226.563887
1.0,155,228.133968
1.0,155,229.73087
2.0,229,232.043904
1.0,175,233.791692
1.0,155,235.431945
0.0,127,236.70426
2.0,224,239.005715
2.0,203,241.109808
0.0,129,242.344506
0.0,129,243.608636
0.0,129,244.887913
1.0,173,246.790236
0.0,129,248.131588
0.0,123,249.464917
0.0,129,250.844472
4.0,275,253.939703
0.0,129,255.268833
0.0,129,256.602186
0.0,125,257.938742
3.0,254,260.680813
0.0,129,262.033549
1.0,171,263.817313
3.0,211,265.961172
0.0,127,267.20282
1.0,175,269.052123
0.0,127,270.39021
1.0,157,272.048297
0.0,125,273.338065
2.0,204,275.412651
0.0,127,276.682404
2.0,218,278.985701
0.0,125,280.275934
1.0,155,281.860389
0.0,129,283.153579
2.0,201,285.305392
1.0,157,286.945419
1.0,175,288.790218
0.0,125,290.025827
3.0,250,292.724893
3.0,272,295.713403
0.0,129,297.09764
4.0,303,300.338852
0.0,125,301.619919
5.0,348,305.306203
0.0,125,306.513473
2.0,204,308.624619
1.0,175,310.412928
0.0,129,311.686128
0.0,127,312.913789
0.0,125,314.242
0.0,127,315.526022
1.0,175,317.3097
0.0,129,318.692199
3.0,245,321.35333
0.0,129,322.627644
1.0,155,324.310847
1.0,175,326.201453
1.0,173,328.044138
1.0,178,329.808644
0.0,129,331.076176
0.0,125,332.34339
0.0,127,333.580282
2.0,203,335.726571
1.0,173,337.547565
0.0,125,338.834968
1.0,155,340.475743
1.0,178,342.444927
1.0,157,344.111717
0.0,129,345.475385
2.0,198,347.613173
1.0,176,349.359839
0.0,129,350.611988
0.0,125,351.850327
0.0,125,353.141626
3.0,252,355.840139
2.0,200,357.860281
1.0,172,359.641863
0.0,129,360.90158
2.0,188,362.868985
0.0,127,364.115612
2.0,187,366.079366
3.0,270,368.954289
1.0,178,370.800092
1.0,155,372.357005
0.0,125,373.631258
3.0,250,376.222658
4.0,301,379.537971
0.0,127,380.804501
0.0,127,382.153646
5.0,330,385.815406
0.0,129,387.151301
0.0,125,388.445946
0.0,129,389.781312
0.0,127,391.060402
1.0,155,392.602788
0.0,125,393.879668
1.0,173,395.745581
0.0,129,397.041564
0.0,127,398.338638
1.0,176,400.157518
1.0,173,401.951257
0.0,127,403.254431
0.0,127,404.57434
0.0,125,405.75729
4.0,293,408.874304
3.0,252,411.640895
0.0,129,412.900388
0.0,129,414.178255
0.0,125,415.379418
1.0,157,416.945868
0.0,127,418.297328
3.0,254,421.034239
0.0,129,422.333799
6.0,393,426.631833
0.0,127,427.962426
6.0,360,432.008549
2.0,200,434.061304
1.0,171,435.7218
1.0,174,437.482285
2.0,202,439.521228
2.0,206,441.671857
3.0,257,444.347724
3.0,250,447.009572
0.0,129,448.38824
3.0,250,451.109779
0.0,129,452.429857
5.0,352,456.211471
0.0,127,457.435504
2.0,226,459.748524
0.0,129,461.026692
0.0,129,462.318707
5.0,350,465.95428
0.0,127,467.2047
4.0,323,470.675864
1.0,157,472.257827
0.0,127,473.555985
6.0,379,477.631147
0.0,125,478.918413
0.0,127,480.216297
7.0,427,484.880808
6.0,357,488.728366
3.0,232,491.166122
0.0,127,492.456626
0.0,127,493.668284
4.0,318,496.945205
0.0,125,498.161362
0.0,127,499.379847
0.0,125,500.572802
2.0,205,502.837154
2.0,202,505.058533
0.0,125,506.26915
0.0,127,507.511387
0.0,129,508.797179
0.0,129,510.019294
3.0,248,512.668501
8.0,350,516.456839
0.0,127,517.779677
0.0,127,519.115185
0.0,123,520.355993
0.0,129,521.621155
9.0,404,525.983698
0.0,129,527.334239
0.0,129,528.622386
0.0,127,529.889898
5.0,350,533.763058
0.0,129,535.022833
0.0,127,536.327296
